ID;Datum;Name;Beschreibung;Typ;IMP;PRB;MAG;Owner;Gegenmaßnahme
1;10.12.2022;Teammitglied fällt aus;Mitglied des Teams kann (dauerhaft oder zeitweise) nicht mehr am Projekt teilnehmen; z.B. wegen Krankheit oder Studiengangswechsel;4;20%;0,8;Max Müller;Backup-Rollen nutzen und Know-How zwischen diesen Personen kontinuierlich teilen
2;10.12.2022;Einbuße von Terminen;wichtige Meetings oder Abgabetermine gehen verloren;z.B. Teammitglied verpasst Termin mit Kunden;4;20%;0,8;Marten Petters;für alle Teammitglieder zugänglicher Kalender
3;12.12.2022;Fehlende Klarheit;Unklare Kommunikation;Aufgaben werden falsch verstanden;2;35%;0,7;Marten Petters;Anforderungen regelmäßig überprüfen, Verständnis aller Beteiligten prüfen
4;15.12.2022;Teamkonflike;Meinungsverschiedenheiten zwischen Teammitgliedern;z.B. Mitglieder haben persönliche Differenzen;1;25%;0,25;Marten Petters;Teamgeist und Kommunikation stärken
5;15.12.2022;Fehlendes Fachwissen;Aufgaben können aufgrund von mangelndem Fachwissen nicht ausgeführt werden;z.B. geforderte Programiersprache wird nicht beherrscht;3;20%;0,6;Marten Petters;Analyse was an Wissen benötigt wird und bei nicht vorhandensein Wissen wenn möglich aneignen oder Aufgabe ändern
6;15.12.2022;Zeitdruck;Für Aufgaben bleibt weniger Zeit als angedacht;z.B. Aufgaben dauern länger als gedacht;1;70%;0,7;Marten Petters;Zeitaufwand für Aufgaben schätzen und zusätzlichen Puffer einkalkulieren
7;05.01.2023;Operative Änderungen;Änderungen in den Teamprozessen;z.B. Verschiebung der Teamrollen;2;10%;02;Marten Petters;Auswirkungen abmildern indem Änderungen möglichst rechtzeitig angekündigt werden und das Team darauf abgestimmt wird
8;08.01.2023;mangelnde Qualität;Aufgabe konnte nicht so bearbeitet werden wie erwartet;z.B. Aufgabe enthält Fehler oder konnte nicht beendet werden;3;20%;0,6;Marten Petters;offene Kommunikation im Team, Zwischenergebnisse prüfen
9;10.01.2023;wechselnde Stakeholder;Aufgaben/-Personenwechsel;z.B. Kontaktperson von Auftraggeber wechselt;3;5%;0,15;Marten Petters;gute Dokumentation aller Anforderungen, Ziele und Fortschritte
10;15.01.2023;ungenaue Kundenerwartungen; Kunde erwartet ein anderes Produkt als erstellt;z.B. Kunde stellt sich andere Funktionen vor;5;15%;0,75;Marten Petters;Regelmäßige Rücksprache mit dem Kunden und aktuellen Stand und Ziele vorstellen

1;01.12.2022;Teammitglied fällt aus;Mitglied des Teams kann (dauerhaft oder zeitweise) nicht mehr am Projekt teilnehmen; z.B. wegen Krankheit oder Studiengangswechsel;4;20%;0,8;Max Müller;Backup-Rollen nutzen und Know-How zwischen diesen Personen kontinuierlich teilen
2;15.12.2022;Datenschutz von Systemadmin/Systemnutzer;Die Benutzernamen sowie Passwörter aller Benutzer müssen vor dem Zugriff durch nicht Berechtigte geschützt werden. Vor allem bei den Systemadministratoren ist dies essentiell;Technisch;5;10%;0,5;Projoktmanagement;Sichere Passwörter erfordern (Ein Großbuchstabe, Zahl und Sonderzeichen). Passwörter durch Systemverschlüsseln Architecture notebook
3;16.12.2022;Misskommunikation zwischen Team und Auftraggeber;Missverständnisse die Entstehen können durch Kommunikationsfehler;Geschäftlich;5;40%;2;Projoktmanagement;Ein konstanter Informationsaustausch zwischen Team und Auftraggeber. Ständige rücksprache halten bei aufkomenden Fragen. Versuchen Fachausdrücke zu meiden.
4;10.1.12;Dokumentations abgabe;Versehentliches auslassen von Pflichtdokumenten für die Belegabgabe;Geschäftlich;5;60%;3;Teamleader, Projoktmanagement; Anlegen einer Abarbeitungsliste für alle nötigen Dokumente des Belegs. Schnelle arbeitszuweisung für noch nicht fertige Dokumente. Kontrolle durch Teamleiter.
5;01.12.2022;Teamleiter verlässt das Projekt nach dem 1. Semester;Der Teamleiter des Projekts ist nur für das erste Semester in unserem Team. ;Zeitlich;2;100%;2;Projektmanagement, Team;Die Teamleiter Position wird von einem anderen Teammitglied übernommen, die auch im zweiten Semester noch dabei ist. 
6;07.01.2023;Übernahme des bestehendem Projektes;Die Teammitglieder müssen sich mit dem bestehenden Projekt auseinandersetzen und die benutzte Logik und Systemstruktur verstehen und weiter verwenden, wobei Kommunikation mit den Entwicklern nur begrenzt möglich ist.;Geschäftlich, technisch;5;70%;3,5;Team;Genaues befassen mit der Systemstruktur des bestehenden Projektes. Bestehende Funktionalitäten nur verändern, wenn dies nötig ist.   
7;09.12.2022;Einsatz von Tools /Frameworks die manche Teammitglieder nicht kennen;Für das Projekt werden tools wie Github und Docker und Frameworks wie Django benutzt mit denen manche Teammitglieder noch nicht vertraut sind.;Geschäftlich;3;30%;0,9;Team;Teammitglieder mit mehr Erfahrung unterstützen andere Teammitglieder. Selbstständiges vertraut machen mit genutzten Frameworks/Tools.
8;-;-;-;-;-;-;-;-;-
9;-;-;-;-;-;-;-;-;-
10;-;-;-;-;-;-;-;-;-
4;-;-;-;-;-;-;-;-;-
